Subject,sex,age,Dist,speed,TotalObjVisits,TotalHallwayVisits,turns,pauses,evenness,HallEvenness,ButtonPress,entropy,hallwayseq
358,Female,midlife,168.125,0.3502604166666667,9.5,46.5,49,1185.73715796969,0.927960727138337,1.3944333775567925,101,3.1231424654154183,8
385,Female,midlife,260.75,0.5432291666666667,13.5,70.5,71,744.94445177464,1,2.758824226207808,152,3.114982872146009,11
386,Female,midlife,180.25,0.37552083333333336,9,49.5,56,1896.52035749752,1.5,2.7436796055257213,111,3.0271266791262144,13
387,Female,midlife,212.375,0.44244791666666666,10.5,57,85.5,856.674087145378,1.118033988749895,1.986062547968831,150,3.0989403905384503,12
389,Female,midlife,247.25,0.5151041666666667,14.5,69.5,64,1000.21599453178,1.5634719199411433,3.7080992435478315,139,3.09920186498929,10
390,Female,midlife,234.25,0.48802083333333335,13,61,58,1338.88174367579,0.3333333333333333,2.242270674512285,127.5,3.1452937079257715,17
391,Female,midlife,200.25,0.4171875,11.5,52.5,68.5,1254.09765625,1.2360330811826103,1.986062547968831,129,3.130515744916872,12
392,Female,midlife,231.375,0.48203125,10.5,57,61.5,1296.73217247098,1.9364916731037085,4.743416490252569,126.5,2.9807833245303543,21
393,Female,midlife,218.5,0.4552083333333333,13,66.5,73.5,1013.04195804196,1.8333333333333333,2.29128784747792,144,3.089364202068905,10
395,Female,midlife,227.875,0.4747395833333333,12.5,59,67,1007.84077841663,1.481365736219265,3.082207001484488,135.5,3.099810984141031,10
396,Female,midlife,238.5,0.496875,15,61.5,72,862.38115942029,0.8660254037844386,2.3154073315749675,145,3.146257228787591,12
397,Female,midlife,231.25,0.4817708333333333,13.5,63.5,72,975.588174882628,1.5811388300841898,2.8284271247461903,144,3.0973585242849944,14
398,Female,midlife,252.125,0.5252604166666667,17.5,67,66,759.732820586544,1.6914819275153699,1.9436506316151,145.5,3.131528867806407,9
399,Female,midlife,246.75,0.5140625,15,65.5,68,846.583333333333,1.118033988749895,1.855921454276674,145.5,3.1382115212731234,9
400,Female,midlife,172.5,0.359375,10,48.5,63,1758.57172619048,1.092906420717,1.509230856356236,117,3.1248365503444226,9
401,Female,midlife,212.25,0.4421875,13,57,69,1131.08573672988,1.4529663145135578,1.964971020425266,134.5,3.0735002480954594,10
402,Female,midlife,201.125,0.41901041666666666,12,57,84.5,1010.25278696268,1.7320508075688772,2.488864087178013,146.5,3.0613452476653635,11
403,Female,midlife,235.5,0.490625,12,64,77,837.244709538827,1.4142135623730951,2.29128784747792,149,3.098966684135008,12
406,Female,midlife,232.25,0.48385416666666664,12.5,60,78.5,747.172463175123,2.8625940062196116,6.2048368229954285,149.5,2.822495514142963,11
407,Female,midlife,255,0.53125,11.5,65,68.5,980.364785214786,1.3333333333333333,3.4439963866286374,142.5,3.0119027863760053,11
408,Female,midlife,216.75,0.4515625,12,54,64,1244.75706179067,1.118033988749895,2.1081851067789197,127,3.097115306404276,11
409,Female,midlife,256.25,0.5338541666666666,13.5,70,70,785.112485060219,1.5,2.598076211353316,148.5,3.093073578110058,15
410,Female,midlife,244,0.5083333333333333,15,64.5,69,876.021058262815,1.8027756377319946,3.7453675090407055,144.5,3.0773177519948054,11
413,Female,midlife,221.625,0.46171875,13,59.5,60,1357.78958730159,1.2692955176439846,2.4037008503093262,126.5,3.1317591361449124,11
414,Female,midlife,235.25,0.4901041666666667,10.5,63,66,1107.81497267759,1.4142135623730951,3.1135902820449006,137,3.052147007005914,12
415,Female,midlife,152.5,0.3177083333333333,9.5,41,81,1468.208,1.1666666666666667,0.8660254037844386,128.5,3.0560761449827627,7
416,Female,midlife,199.875,0.41640625,11.5,56,69.5,1235.40974122207,0.8819171036881969,2.185812841434,133.5,3.1267171575067976,12
417,Female,midlife,246.5,0.5135416666666667,14,60.5,76.5,765.362528344671,1.964971020425266,4.503085362035432,146.5,3.016871112303421,13
