"","ID","timepoint","TrialID","PosX","PosY","PosZ","FacingAngle","startObj","endObj","TrialTime","Result","accuracy"
"1",3001,101,7,5.172382,3.37684,0.018438,164.392428683168,"Plant","Trashcan",22.46447,"Success",TRUE
"2",3001,99,14,3.1901304,0.63498938,0.0215689999999999,159.316361787879,"Telescope","Wheelbarrow",22.21035,"Success",TRUE
"3",3001,104,24,1.8762471,4.669817,-0.0337830000000001,161.034927144423,"Chair","Trashcan",23.30335,"Success",TRUE
"4",3001,52,5,3.22626,-0.893502,0.0291159999999999,126.918771346154,"Table","Bookshelf",11.57404,"Success",TRUE
"5",3001,71,20,0.208704,5.089034,-0.063123,165.183905042254,"Well","Piano",15.84836,"Success",TRUE
"6",3001,92,12,-4.512164,0.5857581,-0.0713950000000001,163.377058358696,"Trashcan","Table",20.44583,"Success",TRUE
"7",3001,60,18,-4.522541,0.6321484,-0.0847300000000002,194.420744585,"Harp","Telescope",13.38227,"Success",TRUE
"8",3001,55,9,-4.065719,1.791915,-0.0694229999999998,262.663449454545,"Bookshelf","Stove",12.30514,"Success",TRUE
"9",3001,135,1,5.238765,-0.817853,0.0491489999999999,166.997727355556,"Stove",NA,30,"Fail",FALSE
"10",3001,73,23,0.0783308,6.35011,-0.0762849999999999,154.182309415068,"Chair","Piano",16.33682,"Success",TRUE
"11",3001,72,16,-3.1889903,-1.16107098,-0.072554,250.062403969444,"Wheelbarrow","Plant",16.04815,"Success",TRUE
"12",3001,60,10,-4.418,-2.245737,-0.059941,226.983284766667,"Bookshelf","Plant",13.53934,"Success",TRUE
"13",3001,59,17,-4.067095,4.20014,-0.0944160000000001,223.232978186441,"Harp","Stove",13.17233,"Success",TRUE
"14",3001,135,15,-0.1662761,0.66740177,-0.0304399999999998,193.592904694074,"Wheelbarrow",NA,30,"Fail",FALSE
"15",3001,69,22,4.340077,4.438372,-0.0104740000000001,116.309647188406,"Mailbox","Bookshelf",15.51434,"Success",TRUE
"16",3001,70,19,-3.444482,4.647991,-0.107052,205.029273085714,"Well","Table",15.75959,"Success",TRUE
"17",3001,85,13,4.467891,-1.39314049,0.0802779999999998,144.557170047059,"Telescope","Well",18.93541,"Success",TRUE
"18",3001,78,11,-5.309727,-1.9362412,-0.069067,220.236858487179,"Trashcan","Telescope",17.53678,"Success",TRUE
"19",3001,76,3,-2.6129574,-6.427123,-0.00204500000000007,200.907019210526,"Piano","Mailbox",16.92616,"Success",TRUE
"20",3001,64,21,4.562257,4.907546,0.0056830000000001,104.8130329375,"Mailbox","Trashcan",14.37198,"Success",TRUE
"21",3001,85,8,3.4352712,1.00194,0.013765,132.903398929412,"Plant","Harp",18.99198,"Success",TRUE
"22",3001,135,6,1.6527427,-4.835513,0.034567,148.897150192593,"Table",NA,30,"Fail",FALSE
"23",3001,44,4,-0.9464004,-4.197574,-0.0112429999999999,180.557066818182,"Piano","Harp",9.950846,"Success",TRUE
"24",3001,62,2,2.8463792,-2.1851051,0.0444819999999999,176.83858516129,"Stove","Wheelbarrow",13.87172,"Success",TRUE
"25",3002,85,23,0.6318332,6.243807,0.110052,183.832745705882,"Chair","Piano",18.96763,"Success",TRUE
"26",3002,131,6,2.5693963,-5.092553,-0.0843849999999999,157.63427570229,"Table","Chair",29.17549,"Success",TRUE
"27",3002,135,12,-4.290864,1.6400772,-0.00463199999999997,191.057749718519,"Trashcan",NA,30,"Fail",FALSE
"28",3002,60,16,-2.9096402,-2.33640929,-0.0736410000000001,259.339015,"Wheelbarrow","Plant",13.50498,"Success",TRUE
"29",3002,126,13,4.602264,-1.32849993,0.00184899999999999,167.476552285714,"Telescope","Well",28.15289,"Success",TRUE
"30",3002,74,21,4.548832,4.611592,0.075186,134.913523135135,"Mailbox","Trashcan",16.45991,"Success",TRUE
"31",3002,75,7,5.236346,3.162619,0.0720290000000001,161.117319052,"Plant","Trashcan",16.83757,"Success",TRUE
"32",3002,73,24,1.6098318,4.36524,0.101228,153.758070653945,"Chair","Trashcan",16.24771,"Success",TRUE
"33",3002,100,18,-4.541459,1.21192603,-0.00834400000000013,173.610232802,"Harp","Telescope",22.25671,"Success",TRUE
"34",3002,128,19,-3.400255,4.058661,0.045506,195.290241578125,"Well","Table",28.56475,"Success",TRUE
"35",3002,73,15,-1.2790701,-3.14528057,-0.0722240000000001,205.03651,"Wheelbarrow","Mailbox",16.41524,"Success",TRUE
"36",3002,90,14,3.1720362,0.58121761,0.056835,134.040189277778,"Telescope","Wheelbarrow",20.0677,"Success",TRUE
"37",3002,90,5,4.389934,-1.0978163,0.00396299999999994,149.290089822222,"Table","Bookshelf",20.11261,"Success",TRUE
"38",3002,135,8,1.5796435,0.0226259999999998,-0.018462,190.69670542963,"Plant",NA,30,"Fail",FALSE
"39",3002,92,9,-4.125877,1.774305,-0.00612699999999999,198.324056271739,"Bookshelf","Stove",20.57908,"Success",TRUE
"40",3002,113,2,2.46897541,-2.1098837,-0.0082939999999998,191.791466809292,"Stove","Wheelbarrow",25.11067,"Success",TRUE
"41",3002,63,22,3.993261,4.1779792,0.0745610000000001,192.951984273016,"Mailbox","Bookshelf",14.12749,"Success",TRUE
"42",3002,80,17,-4.196389,4.200134,0.0622989999999999,239.128448975,"Harp","Stove",17.90103,"Success",TRUE
"43",3002,86,4,0.192189,-4.49889,-0.075529,171.54242272093,"Piano","Harp",19.15655,"Success",TRUE
"44",3002,103,1,4.345229,-4.854318,-0.06951,143.195706796116,"Stove","Well",22.93374,"Success",TRUE
"45",3002,71,3,-3.520704,-6.249101,-0.136354,200.102254098592,"Piano","Mailbox",15.89183,"Success",TRUE
"46",3002,63,10,-4.324549,-2.873704,-0.0719270000000001,214.811045873016,"Bookshelf","Plant",14.1829,"Success",TRUE
"47",3002,135,11,-3.531646,2.369627,0.00229699999999999,205.1107612,"Trashcan",NA,30,"Fail",FALSE
"48",3002,53,20,0.325788,4.98137,0.0883970000000001,181.825286849057,"Well","Piano",11.8838,"Success",TRUE
"49",3003,135,2,2.7065246,-3.3349636,0.035326,201.733852592593,"Stove",NA,30,"Fail",FALSE
"50",3003,135,20,-4.054933,1.2975259,-0.0826680000000002,222.765040562963,"Well",NA,30,"Fail",FALSE
"51",3003,105,8,4.635941,1.1606735,-0.0141849999999999,153.770470171429,"Plant","Harp",23.46716,"Success",TRUE
"52",3003,68,19,-3.711045,3.197817,-0.0677500000000002,181.172106470588,"Well","Table",15.11556,"Success",TRUE
"53",3003,135,15,1.3385836,-2.73073797,-0.0134809999999999,169.9249652,"Wheelbarrow",NA,30,"Fail",FALSE
"54",3003,101,17,-4.248933,4.369005,-0.0450810000000001,233.384486752475,"Harp","Stove",22.46626,"Success",TRUE
"55",3003,112,9,-3.961707,1.312254,-0.046195,188.985706830357,"Bookshelf","Stove",25.04358,"Success",TRUE
"56",3003,83,22,4.262394,4.604208,-0.028937,135.007482493976,"Mailbox","Bookshelf",18.5921,"Success",TRUE
"57",3003,55,5,3.1361742,-1.0497163,0.021226,122.849099636364,"Table","Bookshelf",12.21683,"Success",TRUE
"58",3003,67,21,4.556234,5.22585,-0.0340879999999999,128.069340132836,"Mailbox","Trashcan",15.03826,"Success",TRUE
"59",3003,77,11,-5.230938,-1.8615063,-0.060794,199.051275545455,"Trashcan","Telescope",17.29173,"Success",TRUE
"60",3003,51,14,2.98530601,-0.84989332,0.0120930000000001,139.907662941176,"Telescope","Wheelbarrow",11.33908,"Success",TRUE
"61",3003,63,1,4.331746,-4.735306,0.0209630000000001,168.360889047619,"Stove","Well",14.016,"Success",TRUE
"62",3003,67,23,-0.165623,6.506154,-0.0444819999999999,160.707481537313,"Chair","Piano",15.06008,"Success",TRUE
"63",3003,86,12,-4.542936,0.3558276,-0.0696379999999999,177.693995343023,"Trashcan","Table",19.1582,"Success",TRUE
"64",3003,61,7,5.2005,3.807111,0.0117750000000001,131.879417672131,"Plant","Trashcan",13.5938,"Success",TRUE
"65",3003,135,18,-3.971805,-1.463852,-0.0818890000000001,214.991238052593,"Harp",NA,30,"Fail",FALSE
"66",3003,59,6,2.17867049,-5.001809,0.0340500000000001,129.632099322034,"Table","Chair",13.23849,"Success",TRUE
"67",3003,73,24,1.868349,5.480614,-0.0461509999999998,154.464234164384,"Chair","Trashcan",16.39279,"Success",TRUE
"68",3003,69,3,-2.4852761,-6.442983,-0.0488300000000002,209.575635362319,"Piano","Mailbox",15.37195,"Success",TRUE
