10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.159671 [3865 voxels],0.126227 [5681 voxels],0.119335 [5398 voxels],0.257938 [2257 voxels],0.138621 [2224 voxels],0.182168 [3910 voxels],0.150484 [3444 voxels],0.274939 [2406 voxels],0.217154 [2152 voxels],061,061,0.196414 [4171 voxels],0.189554 [4452 voxels],0.142617 [7753 voxels],0.15612 [7686 voxels],0.259096 [3274 voxels]
037,037,037,037,037,037,037,037,037,062,062,037,037,037,037,037
0.076333 [3865 voxels],0.102758 [5681 voxels],0.100089 [5398 voxels],0.139751 [2257 voxels],0.126115 [2224 voxels],0.249726 [3910 voxels],0.184144 [3444 voxels],0.131341 [2406 voxels],0.184665 [2152 voxels],065,065,0.0910031 [4171 voxels],0.118649 [4452 voxels],0.0577556 [7753 voxels],0.0933776 [7686 voxels],0.122608 [3274 voxels]
038,038,038,038,038,038,038,038,038,066,066,038,038,038,038,038
0.199315 [3865 voxels],0.100119 [5681 voxels],0.11638 [5398 voxels],0.283378 [2257 voxels],0.164838 [2224 voxels],0.233347 [3910 voxels],0.219914 [3444 voxels],0.322817 [2406 voxels],0.273957 [2152 voxels],068,068,0.159156 [4171 voxels],0.192411 [4452 voxels],0.0904769 [7753 voxels],0.131888 [7686 voxels],0.201283 [3274 voxels]
039,039,039,039,039,039,039,039,039,069,069,039,039,039,039,039
0.184122 [3865 voxels],0.168803 [5681 voxels],0.167335 [5398 voxels],0.28716 [2257 voxels],0.221806 [2224 voxels],0.168899 [3910 voxels],0.230826 [3444 voxels],0.262194 [2406 voxels],0.262154 [2152 voxels],070,070,0.203877 [4171 voxels],0.161942 [4452 voxels],0.0948697 [7753 voxels],0.0926678 [7686 voxels],0.21013 [3274 voxels]
041,041,041,041,041,041,041,041,041,071,071,041,041,041,041,041
0.175706 [3865 voxels],0.0892231 [5681 voxels],0.115868 [5398 voxels],0.200075 [2257 voxels],0.251192 [2224 voxels],0.180577 [3910 voxels],0.199276 [3444 voxels],0.228163 [2406 voxels],0.277003 [2152 voxels],072,072,0.208383 [4171 voxels],0.198091 [4452 voxels],0.135463 [7753 voxels],0.126556 [7686 voxels],0.176154 [3274 voxels]
043,043,043,043,043,043,043,043,043,073,073,043,043,043,043,043
