10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
039,039,039,039,039,039,039,039,039,069,069,039,039,039,039,039
0.255112 [3865 voxels],0.23377 [5681 voxels],0.229242 [5398 voxels],0.350239 [2257 voxels],0.282326 [2224 voxels],0.237873 [3910 voxels],0.284881 [3444 voxels],0.330414 [2406 voxels],0.328051 [2152 voxels],070,070,0.23939 [4171 voxels],0.209154 [4452 voxels],0.142428 [7753 voxels],0.152048 [7686 voxels],0.281721 [3274 voxels]
041,041,041,041,041,041,041,041,041,071,071,041,041,041,041,041
0.254066 [3865 voxels],0.138655 [5681 voxels],0.168182 [5398 voxels],0.276223 [2257 voxels],0.314573 [2224 voxels],0.249591 [3910 voxels],0.252247 [3444 voxels],0.296141 [2406 voxels],0.34219 [2152 voxels],072,072,0.254042 [4171 voxels],0.246791 [4452 voxels],0.193674 [7753 voxels],0.20256 [7686 voxels],0.242934 [3274 voxels]
043,043,043,043,043,043,043,043,043,073,073,043,043,043,043,043
0.250658 [3865 voxels],0.208487 [5681 voxels],0.19931 [5398 voxels],0.359073 [2257 voxels],0.261065 [2224 voxels],0.234291 [3910 voxels],0.230193 [3444 voxels],0.3427 [2406 voxels],0.326159 [2152 voxels],074,074,0.198162 [4171 voxels],0.221295 [4452 voxels],0.189178 [7753 voxels],0.194722 [7686 voxels],0.267262 [3274 voxels]
044,044,044,044,044,044,044,044,044,075,075,044,044,044,044,044
0.207477 [3865 voxels],0.209055 [5681 voxels],0.222625 [5398 voxels],0.346398 [2257 voxels],0.271709 [2224 voxels],0.253011 [3910 voxels],0.289027 [3444 voxels],0.303368 [2406 voxels],0.277574 [2152 voxels],076,076,0.196057 [4171 voxels],0.164233 [4452 voxels],0.131721 [7753 voxels],0.165436 [7686 voxels],0.25554 [3274 voxels]
045,045,045,045,045,045,045,045,045,078,078,045,045,045,045,045
0.225151 [3865 voxels],0.230093 [5681 voxels],0.233078 [5398 voxels],0.352873 [2257 voxels],0.243312 [2224 voxels],0.327741 [3910 voxels],0.300099 [3444 voxels],0.404283 [2406 voxels],0.359403 [2152 voxels],079,079,0.214406 [4171 voxels],0.217889 [4452 voxels],0.152491 [7753 voxels],0.196906 [7686 voxels],0.291095 [3274 voxels]
046,046,046,046,046,046,046,046,046,081,081,046,046,046,046,046
