10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.532268 [3865 voxels],0.564893 [5681 voxels],0.580011 [5398 voxels],0.521916 [2257 voxels],0.5396 [2224 voxels],0.548247 [3910 voxels],0.549969 [3444 voxels],0.538611 [2406 voxels],0.563126 [2152 voxels],,,0.504922 [4171 voxels],0.514105 [4452 voxels],0.511207 [7753 voxels],0.476193 [7686 voxels],0.537684 [3274 voxels]
082,082,082,082,082,082,082,082,082,,,082,082,082,082,082
0.532185 [3865 voxels],0.561917 [5681 voxels],0.551028 [5398 voxels],0.561003 [2257 voxels],0.574858 [2224 voxels],0.571015 [3910 voxels],0.564518 [3444 voxels],0.533671 [2406 voxels],0.519886 [2152 voxels],,,0.532246 [4171 voxels],0.495157 [4452 voxels],0.516486 [7753 voxels],0.507065 [7686 voxels],0.586577 [3274 voxels]
085,085,085,085,085,085,085,085,085,,,085,085,085,085,085
0.563558 [3865 voxels],0.58331 [5681 voxels],0.602039 [5398 voxels],0.562669 [2257 voxels],0.571604 [2224 voxels],0.587371 [3910 voxels],0.586708 [3444 voxels],0.559855 [2406 voxels],0.532511 [2152 voxels],,,0.507604 [4171 voxels],0.491306 [4452 voxels],0.530434 [7753 voxels],0.517299 [7686 voxels],0.562064 [3274 voxels]
086,086,086,086,086,086,086,086,086,,,086,086,086,086,086
0.526359 [3865 voxels],0.532337 [5681 voxels],0.533578 [5398 voxels],0.533342 [2257 voxels],0.56134 [2224 voxels],0.545876 [3910 voxels],0.551351 [3444 voxels],0.56127 [2406 voxels],0.54336 [2152 voxels],,,0.469158 [4171 voxels],0.474497 [4452 voxels],0.518082 [7753 voxels],0.457071 [7686 voxels],0.591232 [3274 voxels]
088,088,088,088,088,088,088,088,088,,,088,088,088,088,088
0.516962 [3865 voxels],0.50903 [5681 voxels],0.530324 [5398 voxels],0.557295 [2257 voxels],0.565295 [2224 voxels],0.546487 [3910 voxels],0.559305 [3444 voxels],0.515655 [2406 voxels],0.524392 [2152 voxels],,,0.495282 [4171 voxels],0.500953 [4452 voxels],0.48118 [7753 voxels],0.468899 [7686 voxels],0.56975 [3274 voxels]
089,089,089,089,089,089,089,089,089,,,089,089,089,089,089
0.588543 [3865 voxels],0.519116 [5681 voxels],0.553111 [5398 voxels],0.579566 [2257 voxels],0.598354 [2224 voxels],0.564867 [3910 voxels],0.58994 [3444 voxels],0.555582 [2406 voxels],0.533963 [2152 voxels],,,0.523219 [4171 voxels],0.540601 [4452 voxels],0.530983 [7753 voxels],0.528213 [7686 voxels],0.592252 [3274 voxels]
091,091,091,091,091,091,091,091,091,,,091,091,091,091,091
0.528726 [3865 voxels],0.544294 [5681 voxels],0.56337 [5398 voxels],0.561879 [2257 voxels],0.584519 [2224 voxels],0.571241 [3910 voxels],0.571581 [3444 voxels],0.616582 [2406 voxels],0.557761 [2152 voxels],,,0.475909 [4171 voxels],0.459576 [4452 voxels],0.504348 [7753 voxels],0.459896 [7686 voxels],0.592903 [3274 voxels]
095,095,095,095,095,095,095,095,095,,,095,095,095,095,095
